,company_name_final,company_type_final,company_headquarter_location_final,company_age_final,Number_of_Employees_final
3990,  FreshMonk  ,"  Noida,Uttar Pradesh  ",  8 years old  , nan , nan 
3991,  EduChat  ,"  Bangalore,Karnataka  ",  7 years old  ,  11-50 Employees (Global)  , nan 
3992,  Learon Edutech  ,  Private  ,  Jaipur  ,  10 years old  ,  11-50 Employees (Global)  
3993,  Rootalpha  ,  Kolkata  ,  7 years old  , nan , nan 
3994,  SudoSaints Infot...  ,  Pune  , nan , nan , nan 
3995,  Jobspire  ,"  Bangalore,Karnataka  ",  8 years old  , nan , nan 
3996,  HealthMir  ,"  Delhi,NCT  ",  7 years old  , nan , nan 
3997,  Geek Online Vent...  ,"  Inzai,Chiba-ken  ",  7 years old  ,  51-200 Employees (India)  , nan 
3998,  MeTripping Techn...  ,"  Bangalore,Karnataka  ",  6 years old  ,  11-50 Employees (India)  , nan 
3999,  Near.in  ,"  Gurgaon,Haryana  ",  8 years old  , nan , nan 
4000,  1CLICK  ,"  Bangalore,Karnataka  ",  10 years old  , nan , nan 
4001,  iLenze  ,"  Bangalore,Karnataka  ",  8 years old  , nan , nan 
4002,  EnCashea  ,"  Bangalore,Karnataka  ",  7 years old  , nan , nan 
4003,  Infurnia  ,"  Bangalore,Karnataka  ",  8 years old  , nan , nan 
4004,  ePoise Systems  ,"  Bangalore,Karnataka  ",  10 years old  , nan , nan 
4005,  Brigge  ,"  Chennai,Tamil Nadu  ",  8 years old  , nan , nan 
4006,  CouponsJi  ,  Private  ,"  Kolkata,West Bengal  ",  6 years old  ,  2-10 Employees (Global)  
4007,  BPLUGD  ,"  Bangalore,Karnataka  ",  6 years old  , nan , nan 
4008,  Nerve24 Technolo...  ,  Mumbai  ,  6 years old  , nan , nan 
4009,  SimpliLend  ,"  Delhi,NCT  ",  6 years old  , nan , nan 
4010,  Plash  ,"  Bangalore,Karnataka  ",  10 years old  , nan , nan 
4011,  Videogram  ,"  Mumbai,Maharashtra  ",  10 years old  ,  1-10 Employees (India)  , nan 
4012,  VoxWeb  ,"  Mumbai,Maharashtra  ",  8 years old  , nan , nan 
4013,  IceCream Labs  ,"  Bangalore,Karnataka  ",  9 years old  ,  11-50 Employees (India)  , nan 
4014,  Cookaroo  ,"  Bangalore,Karnataka  ",  8 years old  , nan , nan 
4015,  Spurrin Open Inn...  ,  Bengaluru  ,  7 years old  , nan , nan 
4016,  Omnikart Enginee...  ,"  Mumbai,Maharashtra  ",  8 years old  , nan , nan 
4017,  Cubeit  ,"  Bangalore,Karnataka  ",  10 years old  , nan , nan 
4018,  xSi Semiconducto...  ,"  Bangalore,Karnataka  ",  10 years old  , nan , nan 
4019,  Tradol.in  ,  Private  ,"  Nagpur,Maharashtra  ",  8 years old  ,  11-50 Employees (Global)  
4020,  RushThat  ,  Private  ,  Allahabad  ,  8 years old  ,  11-50 Employees (Global)  
4021,  Maddycoupons  ,  Private  ,  Hyderabad  ,  8 years old  ,  11-50 Employees (Global)  
4022,  Cheapest Online  ,  Private  ,  San  ,  10 years old  ,  11-50 Employees (Global)  
4023,  MintM Loyalty Se...  ,  Private  ,"  Bangalore,Karnataka  ",  10 years old  ,  11-50 Employees (Global)  
4024,  CouponsGrid  ,  Private  ,  Gurgaon  ,  9 years old  ,  11-50 Employees (Global)  
4025,  ClubbingHyderaba...  ,  Private  ,  HyderÄ\x81bÄ\x81d  ,  9 years old  ,  11-50 Employees (Global)  
4026,  Traffline (Birds...  ,"  Mumbai,Maharashtra  ",  10 years old  , nan , nan 
4027,  Nayi Disha Studi...  ,"  Bangalore,Karnataka  ",  10 years old  , nan , nan 
4028,  PropheSee  ,"  Delhi,NCT  ",  8 years old  , nan , nan 
4029,  Yumist  ,"  Gurgaon,Haryana  ",  8 years old  , nan , nan 
4030,  FreshMonk  ,"  Noida,Uttar Pradesh  ",  8 years old  , nan , nan 
4031,  Zivro  ,  Bengaluru  ,  8 years old  , nan , nan 
4032,  Xobin  ,"  Chennai,Tamil Nadu  ",  7 years old  , nan , nan 
4033,  Jayalaxmi Agrote...  ,  Private  ,"  Bangalore,Karnataka  ",  8 years old  , nan 
4034,  Road Star  ,"  Mountain View,California  ",  5 years old  , nan , nan 
4035,  Shubu Artificial...  ,"  Bangalore,Karnataka  ",  2 years old  , nan , nan 
4036,  NRX Pharmaceutic...  ,"  Wilmington,Delaware  ",  7 years old  , nan , nan 
4037,  Shumee Toys  ,"  Bangalore,Karnataka  ",  8 years old  , nan , nan 
4038,  Shopgro  ,"  Bangalore,Karnataka  ",  6 years old  , nan , nan 
4039,  BoxMySpace  ,"  Mumbai,Maharashtra  ",  8 years old  ,  11-50 Employees (India)  , nan 
4040,  Refrens  ,"  Bangalore,Karnataka  ",  3 years old  , nan , nan 
4041,  Satvacart  ,"  Gurgaon,Haryana  ",  8 years old  , nan , nan 
4042,  Podium  ,"  Lehi,Utah  ",  8 years old  , nan , nan 
4043,  Health Sensei  ,"  Chennai,Tamil Nadu  ",  2 years old  , nan , nan 
4044,  AlgoSales  ,"  Noida,Uttar Pradesh  ",  1 years old  , nan , nan 
4045,  QuadZeta Technol...  ,"  Kochi,Kerala  ",  5 years old  , nan , nan 
4046,  Amaara Herbs  ,"  Delhi,NCT  ",  6 years old  , nan , nan 
4047,  Welectric  ,"  Bangalore,Karnataka  ",  3 years old  , nan , nan 
4048,  PeddleWeb  ,  Private  ,"  Ahmedabad,Gujarat  ",  3 years old  ,  11-50 Employees (Global)  
4049,  Rise Socially  ,  Private  ,"  Gandhinagar,Gujarat  ",  1 years old  ,  1-10 Employees (India)  
4050,  Jet Web Solution...  ,  Private  ,"  Durgapur,West Bengal  ",  1 years old  ,  11-50 Employees (India)  
4051,  Lahori Zeera  ,"  Rupnagar,Punjab  ",  4 years old  ,  51-200 Employees (India)  , nan 
4052,  Super Split  ,  Bangalore  ,  2 years old  ,  11-50 Employees (India)  , nan 
4053,  Strobes  ,  Private  ,  Plano  ,  3 years old  ,  11-50 Employees (India)  
4054,  Branch  ,"  Minneapolis,Minnesota  ",  7 years old  , nan , nan 
4055,  Niro  ,"  Bangalore,Karnataka  ",  1 years old  , nan , nan 
4056,  PayGlocal  ,"  Bangalore,Karnataka  ",  1 years old  ,  11-50 Employees (India)  , nan 
4057,  OneRare  ,"  Delhi,NCT  ",  1 years old  , nan , nan 
4058,  Brainwired  ,"  Kochi,Kerala  ",  4 years old  , nan , nan 
